Rentrée;Région académique;Académie;Département;Commune;UAI;Dénomination principale;Patronyme;Type d'établissement;Secteur;Nombre d'élèves dans une formation du second degré;Nombre d'élèves dans une formation du supérieur;Nombre d'élèves 2D externe;Nombre d'élèves 2D demi-pensionnaires;Nombre d'élèves 2D internes;Nombre d'élèves SUP externes;Nombre d'élèves SUP demi-pensionnaires;Nombre d'élèves SUP internes
2019;PROVENCE-ALPES-COTE D'AZUR;AIX_MARS.;ALPES-DE-HTE-PROVENCE;MANOSQUE;0040010P;LYCEE GENERAL ET TECHNOLOGIQUE;FELIX ESCLANGON;LYCEE;PUBLIC;866;63;240;567;59;62;1;0
2019;PROVENCE-ALPES-COTE D'AZUR;AIX_MARS.;ALPES-DE-HTE-PROVENCE;MANOSQUE;0040013T;COLLEGE;MONT D'OR (LE);COLLEGE;PUBLIC;337;;158;179;0;;;
2019;PROVENCE-ALPES-COTE D'AZUR;AIX_MARS.;ALPES-DE-HTE-PROVENCE;LA MOTTE-DU-CAIRE;0040014U;COLLEGE;MARCEL MASSOT;COLLEGE;PUBLIC;85;;16;56;13;;;
2019;PROVENCE-ALPES-COTE D'AZUR;AIX_MARS.;ALPES-DE-HTE-PROVENCE;CHATEAU-ARNOUX-SAINT-AUBAN;0040052K;COLLEGE;CAMILLE REYMOND;COLLEGE;PUBLIC;655;;49;606;0;;;
2019;PROVENCE-ALPES-COTE D'AZUR;AIX_MARS.;ALPES-DE-HTE-PROVENCE;BEVONS;0040378P;ETAB.REGIONAL ENSEIGNT ADAPTE;CASTEL-BEVONS;EREA;PUBLIC;50;;2;21;27;;;
2019;PROVENCE-ALPES-COTE D'AZUR;AIX_MARS.;ALPES-DE-HTE-PROVENCE;DIGNE-LES-BAINS;0040461E;COLLEGE PRIVE;LE SACRE COEUR;COLLEGE;PRIVE;276;;194;68;14;;;
2019;PROVENCE-ALPES-COTE D'AZUR;AIX_MARS.;BOUCHES-DU-RHONE;AIX-EN-PROVENCE;0130001F;LYCEE POLYVALENT;EMILE ZOLA;LYCEE;PUBLIC;1729;220;1005;724;0;155;65;0
2019;PROVENCE-ALPES-COTE D'AZUR;AIX_MARS.;BOUCHES-DU-RHONE;ARLES;0130011S;LT LYCEE DES METIERS;PASQUET;LYCEE;PUBLIC;1044;77;362;682;0;77;0;0
2019;PROVENCE-ALPES-COTE D'AZUR;AIX_MARS.;BOUCHES-DU-RHONE;GREASQUE;0130028K;COLLEGE;DENIS MOUSTIER;COLLEGE;PUBLIC;883;;47;836;0;;;
2019;PROVENCE-ALPES-COTE D'AZUR;AIX_MARS.;BOUCHES-DU-RHONE;MARSEILLE;0130036U;LYCEE GENERAL ET TECHNOLOGIQUE;PERIER;LYCEE;PUBLIC;1016;260;803;213;0;260;0;0
2019;PROVENCE-ALPES-COTE D'AZUR;AIX_MARS.;BOUCHES-DU-RHONE;MARSEILLE;0130040Y;LYCEE GENERAL ET TECHNOLOGIQUE;THIERS;LYCEE;PUBLIC;865;991;456;409;0;819;1;171
2019;PROVENCE-ALPES-COTE D'AZUR;AIX_MARS.;BOUCHES-DU-RHONE;MARSEILLE;0130049H;LYCEE GENERAL ET TECHNOLOGIQUE;REMPART (RUE DU);LYCEE;PUBLIC;413;314;270;143;0;242;72;0
2019;PROVENCE-ALPES-COTE D'AZUR;AIX_MARS.;BOUCHES-DU-RHONE;MARSEILLE;0130051K;LYCEE TECHNOLOGIQUE;MARIE CURIE;LYCEE;PUBLIC;604;774;566;38;0;774;0;0
2019;PROVENCE-ALPES-COTE D'AZUR;AIX_MARS.;BOUCHES-DU-RHONE;MARSEILLE;0130058T;LP LYCEE DES METIERS;ESTAQUE (L');LP;PUBLIC;378;;160;218;0;;;
2019;PROVENCE-ALPES-COTE D'AZUR;AIX_MARS.;BOUCHES-DU-RHONE;MARSEILLE;0130059U;LYCEE PROFESSIONNEL;BLAISE PASCAL;LP;PUBLIC;392;52;391;0;1;52;0;0
2019;PROVENCE-ALPES-COTE D'AZUR;AIX_MARS.;BOUCHES-DU-RHONE;MARSEILLE;0130064Z;LP LYCEE DES METIERS;JEAN BAPTISTE BROCHIER;LP;PUBLIC;619;47;465;153;1;35;12;0
