Region;Academie;Département;Commune;Nom_etablissement;UAI;Type établissement;Statut_public_prive;Code Postal;Adresse_1;Adresse_2;Mail;Effectif;Education Prioritaire;Cite_educative;QPV;ULIS;SEGPA;Section_sport;Lycee_Agricole;Lycee_militaire;Lycee_des_metiers;Lien_ONISEP;SIREN_SIRET;nom_circonscription;ministere_tutelle;Debut_Labellisation;Fin_Labellisation;coordonnee_Y;coordonnee_X;epsg;precision_localisation;Latitude;Longitude;Position;Engagement_30minAPQ
Auvergne-Rhône-Alpes;Lyon;Ain;Belley;Lycée du Bugey;0010010F;Lycée;Public;01300;113 rue du 5e RTM;BP 157;ce.0010010F@ac-lyon.fr;;;;300 à 500m;0;0;1;0;0;0;http://geolocalisation.onisep.fr/01-ain/belley/lycee/lycee-du-bugey.html;19010010700019;;Ministère de l'éducation nationale;2018-01-09;2021-01-09;6521619.9;909024.7;EPSG:2154;Numéro de rue;45.76214117;5.689720089;45.7621411674,5.68972008886;
Auvergne-Rhône-Alpes;Lyon;Ain;Bourg-en-Bresse;Lycée polyvalent Joseph-Marie Carriat;0010016M;Lycée;Public;01000;1 rue de Crouÿ;BP 60309;ce.0010016M@ac-lyon.fr;;;;Hors QP;0;0;1;0;0;0;http://geolocalisation.onisep.fr/01-ain/bourg-en-bresse/lycee/lycee-polyvalent-joseph-marie-carriat.html;19010016400010;;Ministère de l'éducation nationale;2019-01-09;2022-01-09;6568856.8;871495.2;EPSG:2154;Numéro de rue;46.19781467;5.224190392;46.1978146744,5.22419039204;
Auvergne-Rhône-Alpes;Lyon;Ain;Bourg-en-Bresse;Collège du Revermont;0010018P;Collège;Public;01000;9 avenue de Jasseron;;ce.0010018P@ac-lyon.fr;520;;;300 à 500m;1;0;1;0;0;0;http://geolocalisation.onisep.fr/moncollege/01-ain/bourg-en-bresse/college/college-du-revermont.html;19010018000016;;Ministère de l'éducation nationale;2020-01-09;2023-01-09;6570450.4;872844.7;EPSG:2154;Numéro de rue;46.21181539;5.242269979;46.2118153946,5.24226997899;
Auvergne-Rhône-Alpes;Lyon;Ain;Oyonnax;Collège Louis Lumière;0010035H;Collège;Public;01108;61 route de la Forge;BP 803;ce.0010035H@ac-lyon.fr;614;REP+;1;Moins de 200m;1;0;1;0;0;0;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13917;19010035400017;Circonscription d'inspection du 1er degré de Bourg en Bresse - ASH;MINISTERE DE L'EDUCATION NATIONALE;2022-01-09;2025-01-09;6576170.6;903201.6;EPSG:2154;Numéro de rue;46.25485365;5.638289823;46.25485364646008,5.638289823414171;
Auvergne-Rhône-Alpes;Lyon;Ain;Laiz;Ecole primaire;0010339N;Ecole;Public;01290;LE BOURG;;ce.0010339N@ac-lyon.fr;110;;;Hors QP;0;0;0;0;0;0;;21010203400027;Circonscription d'inspection du 1er degré de Bourg III;MINISTERE DE L'EDUCATION NATIONALE;2022-01-09;2025-01-09;6573757.4;845647.3;EPSG:2154;Ville;46.24799269;4.890619401;46.24799268738165,4.890619401259847;
Auvergne-Rhône-Alpes;Lyon;Ain;Certines;Ecole primaire Edgar Quinet;0010543K;Ecole;Public;01240;73 chemin du Rippy;;ce.0010543K@ac-lyon.fr;140;;;Hors QP;0;0;0;0;0;0;;21010069900029;Circonscription d'inspection du 1er degré de Bourg II;Ministère de l'éducation nationale;2019-01-09;2022-01-09;6562997.1;874742.1;EPSG:2154;Numéro de rue;46.1442394;5.264099395;46.1442394011,5.26409939548;
Auvergne-Rhône-Alpes;Lyon;Ain;Gorrevod;Ecole primaire;0010737W;Ecole;Public;01190;VIGNES;;ce.0010737W@ac-lyon.fr;84;;;Hors QP;0;0;0;0;0;0;;21010175400021;Circonscription d'inspection du 1er degré de Bresse;MINISTERE DE L'EDUCATION NATIONALE;2022-01-09;2025-01-09;6592718.2;849425.7;EPSG:2154;Rue;46.41785246;4.945710107;46.41785245855611,4.945710107327668;1
Auvergne-Rhône-Alpes;Lyon;Ain;Montagnat;Ecole primaire;0010763Z;Ecole;Public;01250;1655 route du Village;;ce.0010763Z@ac-lyon.fr;219;;;Hors QP;0;0;0;0;0;0;;21010254700028;Circonscription d'inspection du 1er degré de Bourg III;Ministère de l'éducation nationale;2019-01-09;2022-01-09;6565922.2;876210.4;EPSG:2154;Numéro de rue;46.17018786;5.284209367;46.1701878584,5.28420936668;
Auvergne-Rhône-Alpes;Lyon;Ain;Arbent;Collège Jean Rostand;0010987T;Collège;Public;01100;9 rue Marcel Gaget;;ce.0010987T@ac-lyon.fr;663;REP;1;Hors QP;1;0;1;0;0;0;http://geolocalisation.onisep.fr/moncollege/01-ain/arbent/college/college-jean-rostand.html;19010987600010;Circonscription d'inspection du 1er degré de Bourg en Bresse - ASH;Ministère de l'éducation nationale;2018-01-09;2021-01-09;6578194.5;905726.0;EPSG:2154;Numéro de rue;46.27230392;5.671929629;46.272303919,5.67192962932;
Auvergne-Rhône-Alpes;Lyon;Ain;Miribel;Ecole primaire Groupe scolaire du Centre;0011028M;Ecole;Public;01700;Place de l'Hôtel de Ville;;ce.0011028M@ac-lyon.fr;376;;;Hors QP;0;0;0;0;0;0;;21010249700067;Circonscription d'inspection du 1er degré de La Cotière;Ministère de l'éducation nationale;2019-01-09;2022-01-09;6526654.9;851557.9;EPSG:2154;Numéro de rue;45.82267019;4.952199544;45.8226701935,4.95219954423;
